PERMIT_NUM,REVISION_NUM,STRUCTURE_TYPE,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,POSTAL,GREEN_ROOF_AREA,ECO_ROOF,ID,CFSAUID,G_AREA
12 154305,0,College/Trade/Tech School/Training Cent.,2012-04-16T00:00:00Z,2013-06-26T00:00:00Z,2014-09-25T00:00:00Z,Closed,M1L,473,FALSE,12 154305_0,M1L,473
12 165641,2,Community Hall,2023-09-08T00:00:00Z,2023-11-16T00:00:00Z,NA,Revision Issued,NA,2239,FALSE,12 165641_2,NA,2239
12 165641,0,Community Hall,2012-05-02T00:00:00Z,2013-03-21T00:00:00Z,NA,Inspection,NA,2000,FALSE,12 165641_0,NA,2000
12 166355,0,Mixed Use/Res w Non Res,2012-05-03T00:00:00Z,2014-11-14T00:00:00Z,2016-10-18T00:00:00Z,Closed,M5A,4823,FALSE,12 166355_0,M5A,4823
12 166727,0,Mixed Use/Res w Non Res,2012-05-04T00:00:00Z,2014-05-30T00:00:00Z,2017-12-27T00:00:00Z,Closed,M4Y,118,FALSE,12 166727_0,M4Y,118
12 170167,0,Mixed Use/Res w Non Res,2012-05-09T00:00:00Z,2015-10-14T00:00:00Z,2016-10-14T00:00:00Z,Closed,M5A,1701.4,FALSE,12 170167_0,M5A,1701.4
12 171492,0,SFD - Detached,2012-05-11T00:00:00Z,2012-05-31T00:00:00Z,2012-11-02T00:00:00Z,Closed,M5R,85,FALSE,12 171492_0,M5R,85
12 174617,0,Office,2012-05-16T00:00:00Z,2013-03-07T00:00:00Z,2024-06-14T00:00:00Z,Closed,NA,1176.45,FALSE,12 174617_0,NA,1176.45
12 174758,0,Apartment Building,2012-05-16T00:00:00Z,2014-01-15T00:00:00Z,2015-01-26T00:00:00Z,Closed,M8X,568,FALSE,12 174758_0,M8X,568
12 176280,0,Mixed Use/Res w Non Res,2012-05-18T00:00:00Z,2013-05-24T00:00:00Z,NA,Inspection,M5T,1773.5,FALSE,12 176280_0,M5T,1773.5
12 180974,0,Mixed Use/Res w Non Res,2012-05-28T00:00:00Z,2014-07-07T00:00:00Z,NA,Inspection,M5V,350.7,FALSE,12 180974_0,M5V,350.7
12 183901,0,Mixed Use/Res w Non Res,2012-05-31T00:00:00Z,2013-09-18T00:00:00Z,NA,Inspection,M2K,477,FALSE,12 183901_0,M2K,477
12 185147,0,Mixed Use/Res w Non Res,2012-06-01T00:00:00Z,2014-01-29T00:00:00Z,2018-07-30T00:00:00Z,Closed,M5R,114,FALSE,12 185147_0,M5R,114
12 200240,0,Apartment Building,2012-06-26T00:00:00Z,2014-11-06T00:00:00Z,NA,Inspection,NA,407,FALSE,12 200240_0,NA,407
12 201776,0,Apartment Building,2012-06-27T00:00:00Z,2014-03-27T00:00:00Z,NA,Inspection,M5P,637,FALSE,12 201776_0,M5P,637
12 202451,0,Elementary School,2012-06-28T00:00:00Z,2013-02-14T00:00:00Z,2014-10-08T00:00:00Z,Closed,NA,1159,TRUE,12 202451_0,NA,1159
12 203332,0,University,2012-06-29T00:00:00Z,2013-06-28T00:00:00Z,2015-01-30T00:00:00Z,Closed,M5S,1080,FALSE,12 203332_0,M5S,1080
12 204706,0,Apartment Building,2012-07-04T00:00:00Z,2015-04-09T00:00:00Z,NA,Inspection,NA,1287.6,FALSE,12 204706_0,NA,1287.6
12 207842,0,Indoor Swimming Pool,2012-07-09T00:00:00Z,2013-10-29T00:00:00Z,2014-12-12T00:00:00Z,Closed,NA,60,FALSE,12 207842_0,NA,60
12 209746,0,Mixed Use/Res w Non Res,2012-07-11T00:00:00Z,2015-08-24T00:00:00Z,2015-09-03T00:00:00Z,Closed,M6J,183,FALSE,12 209746_0,M6J,183
12 211627,0,Industrial,2012-07-16T00:00:00Z,2013-02-01T00:00:00Z,NA,Inspection,M6M,11773,FALSE,12 211627_0,M6M,11773
12 213264,1,Other,2014-02-05T00:00:00Z,2014-10-02T00:00:00Z,2016-07-22T00:00:00Z,Closed,M4W,764,FALSE,12 213264_1,M4W,764
12 213264,0,Other,2012-07-17T00:00:00Z,2013-07-05T00:00:00Z,2016-07-22T00:00:00Z,Closed,M4W,786,FALSE,12 213264_0,M4W,786
12 219269,0,Mixed Use/Res w Non Res,2012-07-26T00:00:00Z,2015-04-14T00:00:00Z,NA,Inspection,NA,1081,FALSE,12 219269_0,NA,1081
12 221439,0,Mixed Use/Res w Non Res,2012-07-31T00:00:00Z,2015-03-05T00:00:00Z,2019-04-03T00:00:00Z,Closed,M5V,473,FALSE,12 221439_0,M5V,473
12 223573,0,Mixed Use/Res w Non Res,2012-08-02T00:00:00Z,2013-12-17T00:00:00Z,NA,Inspection,M8V,387,FALSE,12 223573_0,M8V,387
